City,Country,Temperature (C),Humidity (%),Cloudiness (%),Wind Speed (mph),Latitude,Longitude
moroni,US,-0.89,72,88,1.92,39.52,-111.59
mitsamiouli,KM,29,83,75,5.1,-11.38,43.28
domoni,,,,,,,
victoria,BN,30.15,79,75,4.1,5.28,115.24
grenville,CA,-9.54,43,20,2.6,45.62,-74.6
gouyave,GD,26,83,40,4.6,12.16,-61.73
bababe,,,,,,,
nouakchott,MR,20.91,83,20,7.97,18.08,-15.98
nouadhibou,MR,17,67,0,12.3,20.93,-17.03
liku,ID,30.96,68,24,1.22,-0.73,119.89
vaitupu,,,,,,,
alele,,,,,,,
niksic,ME,14.67,72,90,1.5,42.77,18.95
pljevlja,ME,6,100,90,3.6,43.36,19.36
podgorica,ME,14.17,100,90,1.5,42.44,19.26
khor,RU,-2.69,88,80,5.32,47.88,134.96
umm bab,QA,21.26,68,8,2.07,25.21,50.81
abu samrah,SY,12.16,77,0,3.32,35.3,37.18
serravalle,IT,7.86,100,75,1.5,43.97,12.48
acquaviva,IT,7.88,100,75,1.5,43.95,12.42
san marino,US,11.44,93,90,2.6,34.12,-118.11
pangai,TO,27,83,40,2.6,-19.8,-174.35
neiafu,TO,27,83,75,1.5,-18.65,-173.98
hihifo,,,,,,,
doha,QA,31,19,40,5.7,25.29,51.53
kayfan,,,,,,,
bayan,MN,7.21,31,0,5.22,47.25,107.54
kloulklubed,PW,26.48,88,90,2.6,7.04,134.26
koror,,,,,,,
meyungs,,,,,,,
